r,rw,rx,rwc,rwx,rwxc,category,family,label
62,58,18,21,49,0,Ransomware,LockScreen,Ransomware
86,76,33,27,5,0,Ransomware,Loki,Ransomware
86,76,33,27,5,0,Ransomware,Loki,Ransomware
89,141,33,23,6,0,Ransomware,Loki,Ransomware
69,76,26,28,5,0,Ransomware,Loki,Ransomware
66,70,25,28,5,0,Ransomware,Loki,Ransomware
66,70,25,28,5,0,Ransomware,Loki,Ransomware
66,70,25,28,5,0,Ransomware,Loki,Ransomware
69,72,26,28,5,0,Ransomware,Loki,Ransomware
83,88,33,27,5,0,Ransomware,Loki,Ransomware
120,102,50,29,6,0,Ransomware,Loki,Ransomware
120,106,50,29,6,0,Ransomware,Loki,Ransomware
105,104,41,27,6,1,Ransomware,Magician,Ransomware
134,120,42,39,65,0,Ransomware,Magniber,Ransomware
134,117,42,39,65,0,Ransomware,Magniber,Ransomware
134,115,42,39,65,0,Ransomware,Magniber,Ransomware
113,85,34,30,65,0,Ransomware,Antivirus,Ransomware
134,115,42,39,65,0,Ransomware,Magniber,Ransomware
55,59,15,25,42,0,Ransomware,Makop,Ransomware
85,74,26,27,60,0,Ransomware,Makop,Ransomware
96,81,30,30,60,0,Ransomware,Makop,Ransomware
131,94,44,33,62,0,Ransomware,Makop,Ransomware
32,50,12,24,7,0,Ransomware,Makop,Ransomware
44,56,18,26,7,0,Ransomware,Makop,Ransomware
163,98,54,34,0,0,Ransomware,Makop,Ransomware
91,62,28,24,0,0,Ransomware,Makop,Ransomware
131,94,44,33,66,0,Ransomware,Makop,Ransomware
82,184,32,26,33,17,Ransomware,Makop,Ransomware
55,59,15,25,42,0,Ransomware,Makop,Ransomware
85,75,26,27,61,0,Ransomware,Makop,Ransomware
96,82,30,30,61,0,Ransomware,Makop,Ransomware
69,64,26,21,5,0,Ransomware,Makop,Ransomware
91,64,28,24,0,0,Ransomware,Makop,Ransomware
159,98,52,34,0,0,Ransomware,Makop,Ransomware
131,94,44,33,64,0,Ransomware,Makop,Ransomware
94,113,36,30,5,0,Ransomware,Makop,Ransomware
55,59,15,25,42,0,Ransomware,Makop,Ransomware
85,76,26,27,61,0,Ransomware,Makop,Ransomware
96,84,30,30,61,0,Ransomware,Makop,Ransomware
163,98,54,34,0,0,Ransomware,Makop,Ransomware
91,62,28,24,0,0,Ransomware,Makop,Ransomware
55,59,15,25,42,0,Ransomware,Makop,Ransomware
85,75,26,27,60,0,Ransomware,Makop,Ransomware
96,81,30,30,60,0,Ransomware,Makop,Ransomware
131,92,44,33,62,0,Ransomware,Makop,Ransomware
163,98,54,34,0,0,Ransomware,Makop,Ransomware
91,62,28,24,0,0,Ransomware,Makop,Ransomware
80,106,32,26,5,0,Ransomware,Makop,Ransomware
55,59,15,25,42,0,Ransomware,Makop,Ransomware
85,75,26,27,60,0,Ransomware,Makop,Ransomware
96,81,30,30,60,0,Ransomware,Makop,Ransomware
131,91,44,33,62,0,Ransomware,Makop,Ransomware
52,56,14,24,42,0,Ransomware,Makop,Ransomware
68,65,26,21,5,0,Ransomware,Mallox,Ransomware
194,337,81,33,6,0,Ransomware,Mallox,Ransomware
85,75,26,27,60,0,Ransomware,Mallox,Ransomware
69,74,26,28,5,0,Ransomware,Mallox,Ransomware
66,70,25,28,5,0,Ransomware,Mallox,Ransomware
66,70,25,28,5,0,Ransomware,Mallox,Ransomware
105,102,44,29,6,0,Ransomware,Mallox,Ransomware
164,284,67,30,6,0,Ransomware,Mallox,Ransomware
85,75,26,27,60,0,Ransomware,Mallox,Ransomware
69,74,26,28,5,0,Ransomware,Mallox,Ransomware
66,70,25,28,5,0,Ransomware,Mallox,Ransomware
66,70,25,28,5,0,Ransomware,Mallox,Ransomware
105,102,44,29,6,0,Ransomware,Mallox,Ransomware
65,63,24,23,5,0,Ransomware,Maui,Ransomware
65,63,24,23,5,0,Ransomware,Maui,Ransomware
65,63,24,23,5,0,Ransomware,Maui,Ransomware
83,89,33,27,5,0,Ransomware,MedusaLocker,Ransomware
120,103,50,29,6,0,Ransomware,MedusaLocker,Ransomware
83,90,33,27,5,0,Ransomware,MedusaLocker,Ransomware
120,100,50,29,6,0,Ransomware,MedusaLocker,Ransomware
83,89,33,27,5,0,Ransomware,MedusaLocker,Ransomware
120,103,50,29,6,0,Ransomware,MedusaLocker,Ransomware
120,101,50,29,6,0,Ransomware,MedusaLocker,Ransomware
83,89,33,27,5,0,Ransomware,MedusaLocker,Ransomware
120,101,50,29,6,0,Ransomware,MedusaLocker,Ransomware
83,89,33,27,5,0,Ransomware,MedusaLocker,Ransomware
120,101,50,29,6,0,Ransomware,MedusaLocker,Ransomware
83,89,33,27,5,0,Ransomware,MedusaLocker,Ransomware
83,89,33,27,5,0,Ransomware,MedusaLocker,Ransomware
120,100,50,29,6,0,Ransomware,MedusaLocker,Ransomware
83,89,33,27,5,0,Ransomware,MedusaLocker,Ransomware
120,101,50,29,6,0,Ransomware,MedusaLocker,Ransomware
83,89,33,27,5,0,Ransomware,MedusaLocker,Ransomware
120,102,50,29,6,0,Ransomware,MedusaLocker,Ransomware
120,101,50,29,6,0,Ransomware,MedusaLocker,Ransomware
83,89,33,27,5,0,Ransomware,MedusaLocker,Ransomware
120,100,50,29,6,0,Ransomware,MedusaLocker,Ransomware
83,88,33,27,5,0,Ransomware,MedusaLocker,Ransomware
120,102,50,29,6,0,Ransomware,MedusaLocker,Ransomware
83,88,33,27,5,0,Ransomware,MedusaLocker,Ransomware
83,88,33,27,5,0,Ransomware,MedusaLocker,Ransomware
120,102,50,29,6,0,Ransomware,MedusaLocker,Ransomware
148,148,62,34,6,0,Ransomware,MedusaLocker,Ransomware
83,88,33,27,5,0,Ransomware,MedusaLocker,Ransomware
120,101,50,29,6,0,Ransomware,MedusaLocker,Ransomware
83,88,33,27,5,0,Ransomware,MedusaLocker,Ransomware
120,103,50,29,6,0,Ransomware,MedusaLocker,Ransomware
75,87,28,25,5,0,Ransomware,Mespinoza,Ransomware
75,87,28,25,5,0,Ransomware,Mespinoza,Ransomware
75,87,28,25,5,0,Ransomware,Mespinoza,Ransomware
78,93,29,41,5,0,Ransomware,run.py,Ransomware
77,101,23,28,55,0,Ransomware,Mespinoza,Ransomware
146,117,44,42,71,0,Ransomware,Mespinoza,Ransomware
153,209,54,113,96,33,Ransomware,Mespinoza,Ransomware
160,211,55,114,96,33,Ransomware,Mespinoza,Ransomware
66,71,25,28,5,0,Ransomware,Mespinoza,Ransomware
66,69,25,23,5,0,Ransomware,Mespinoza,Ransomware
112,117,43,26,6,0,Ransomware,Mespinoza,Ransomware
117,120,44,30,6,0,Ransomware,Mespinoza,Ransomware
112,119,43,32,6,0,Ransomware,Mespinoza,Ransomware
66,71,25,28,5,0,Ransomware,Mespinoza,Ransomware
90,94,36,25,6,1,Ransomware,Mimikatz,Ransomware
90,93,36,26,7,2,Ransomware,Mimikatz,Ransomware
396,266,126,74,1,0,Ransomware,ModiLoader,Ransomware
84,79,31,26,10,0,Ransomware,ModiLoader,Ransomware
11,6,2,3,0,0,Ransomware,ModiLoader,Ransomware
11,8,2,3,0,0,Ransomware,ModiLoader,Ransomware
11,8,2,3,0,0,Ransomware,ModiLoader,Ransomware
11,8,2,3,0,0,Ransomware,ModiLoader,Ransomware
11,8,2,3,0,0,Ransomware,ModiLoader,Ransomware
98,81,37,36,0,0,Ransomware,MountLocker,Ransomware
77,66,28,18,0,0,Ransomware,MountLocker,Ransomware
133,152,49,49,1,0,Ransomware,MountLocker,Ransomware
83,88,33,27,5,0,Ransomware,MountLocker,Ransomware
98,81,37,36,0,0,Ransomware,MountLocker,Ransomware
77,66,28,18,0,0,Ransomware,MountLocker,Ransomware
133,148,49,49,1,0,Ransomware,MountLocker,Ransomware
83,88,33,27,5,0,Ransomware,MountLocker,Ransomware
69,64,26,21,5,0,Ransomware,Mydoom,Ransomware
62,58,18,21,49,0,Ransomware,Mydoom,Ransomware
83,106,33,24,7,1,Ransomware,Mydoom,Ransomware
62,58,18,21,48,0,Ransomware,Nabucur,Ransomware
62,58,18,21,50,0,Ransomware,Nabucur,Ransomware
62,58,18,21,49,0,Ransomware,Nabucur,Ransomware
140,250,57,69,40,14,Ransomware,NanoCore,Ransomware
140,244,57,69,40,14,Ransomware,NanoCore,Ransomware
164,200,66,62,32,9,Ransomware,NanoCore,Ransomware
113,140,44,53,29,6,Ransomware,NanoCore,Ransomware
164,200,66,62,32,9,Ransomware,NanoCore,Ransomware
164,200,66,62,32,9,Ransomware,NanoCore,Ransomware
164,200,66,62,32,9,Ransomware,NanoCore,Ransomware
164,210,66,62,32,9,Ransomware,NanoCore,Ransomware
164,196,66,62,32,9,Ransomware,NanoCore,Ransomware
164,200,66,62,32,9,Ransomware,NanoCore,Ransomware
164,207,66,62,32,9,Ransomware,NanoCore,Ransomware
164,210,66,62,32,9,Ransomware,NanoCore,Ransomware
164,211,66,52,32,9,Ransomware,NanoCore,Ransomware
164,211,66,62,32,9,Ransomware,NanoCore,Ransomware
164,199,66,62,32,9,Ransomware,NanoCore,Ransomware
164,195,66,62,32,9,Ransomware,NanoCore,Ransomware
140,250,57,69,40,14,Ransomware,NanoCore,Ransomware
107,97,40,29,7,1,Ransomware,Neshta,Ransomware
105,91,40,21,7,1,Ransomware,Neshta,Ransomware
62,58,18,21,50,0,Ransomware,Neshta,Ransomware
107,99,41,29,6,0,Ransomware,Neshta,Ransomware
73,67,28,22,5,0,Ransomware,Neshta,Ransomware
83,88,33,27,5,0,Ransomware,Neshta,Ransomware
120,101,50,29,6,0,Ransomware,Neshta,Ransomware
83,89,33,27,5,0,Ransomware,Neshta,Ransomware
120,103,50,29,6,0,Ransomware,Neshta,Ransomware
83,91,33,27,5,0,Ransomware,Neshta,Ransomware
120,101,50,29,6,0,Ransomware,Neshta,Ransomware
105,100,41,29,6,0,Ransomware,Neshta,Ransomware
62,58,18,21,50,0,Ransomware,Neshta,Ransomware
80,59,26,26,59,0,Ransomware,NightSky,Ransomware
68,61,26,21,5,0,Ransomware,Nitro,Ransomware
68,61,26,21,5,0,Ransomware,Nitro,Ransomware
68,61,26,21,5,0,Ransomware,Nitro,Ransomware
68,61,26,21,5,0,Ransomware,Nitro,Ransomware
68,61,26,21,5,0,Ransomware,Nitro,Ransomware
68,61,26,21,5,0,Ransomware,Nitro,Ransomware
68,61,26,21,5,0,Ransomware,Nitro,Ransomware
68,61,26,21,5,0,Ransomware,Nitro,Ransomware
123,203,50,54,33,10,Ransomware,njrat,Ransomware
157,209,64,56,30,9,Ransomware,njrat,Ransomware
161,261,65,65,37,13,Ransomware,njrat,Ransomware
99,111,39,32,6,0,Ransomware,njrat,Ransomware
99,108,39,32,6,0,Ransomware,njrat,Ransomware
99,110,39,32,6,0,Ransomware,njrat,Ransomware
86,76,33,27,5,0,Ransomware,njrat,Ransomware
86,76,33,27,5,0,Ransomware,njrat,Ransomware
84,75,32,26,5,0,Ransomware,njrat,Ransomware
213,308,91,70,32,9,Ransomware,njrat,Ransomware
170,310,73,71,34,11,Ransomware,njrat,Ransomware
84,75,32,26,5,0,Ransomware,njrat,Ransomware
84,75,32,27,5,0,Ransomware,njrat,Ransomware
86,76,33,27,5,0,Ransomware,njrat,Ransomware
105,101,44,29,6,0,Ransomware,njrat,Ransomware
86,76,33,27,5,0,Ransomware,njrat,Ransomware
105,101,44,29,6,0,Ransomware,njrat,Ransomware
105,101,44,29,6,0,Ransomware,njrat,Ransomware
105,102,44,29,6,0,Ransomware,njrat,Ransomware
84,75,32,27,5,0,Ransomware,njrat,Ransomware
157,209,64,56,30,9,Ransomware,njrat,Ransomware
134,277,56,65,38,14,Ransomware,njrat,Ransomware
99,114,39,32,6,0,Ransomware,njrat,Ransomware
101,116,40,32,6,0,Ransomware,njrat,Ransomware
99,113,39,32,6,0,Ransomware,njrat,Ransomware
157,188,63,51,26,8,Ransomware,njrat,Ransomware
99,114,39,32,6,0,Ransomware,njrat,Ransomware
155,182,62,53,26,8,Ransomware,njrat,Ransomware
122,205,49,61,35,11,Ransomware,njrat,Ransomware
99,112,39,32,6,0,Ransomware,njrat,Ransomware
105,101,44,29,6,0,Ransomware,njrat,Ransomware
70,64,27,21,5,0,Ransomware,njrat,Ransomware
62,58,18,21,49,0,Ransomware,NoCry,Ransomware
93,76,28,28,63,0,Ransomware,NominatusStorm,Ransomware
101,87,31,30,64,0,Ransomware,NominatusStorm,Ransomware
101,90,31,30,65,0,Ransomware,NominatusStorm,Ransomware
93,76,28,28,63,0,Ransomware,NominatusStorm,Ransomware
69,64,26,21,5,0,Ransomware,NominatusStorm,Ransomware
93,76,28,28,64,0,Ransomware,NominatusStorm,Ransomware
69,64,26,21,5,0,Ransomware,NominatusStorm,Ransomware
69,64,26,21,5,0,Ransomware,NominatusStorm,Ransomware
69,64,26,21,5,0,Ransomware,NominatusStorm,Ransomware
44,58,18,23,5,0,Ransomware,,Ransomware
44,58,18,23,5,0,Ransomware,,Ransomware
44,58,18,23,5,0,Ransomware,,Ransomware
44,58,18,23,5,0,Ransomware,,Ransomware
44,58,18,23,5,0,Ransomware,,Ransomware
44,58,18,23,5,0,Ransomware,,Ransomware
44,58,18,23,5,0,Ransomware,,Ransomware
44,58,18,23,5,0,Ransomware,,Ransomware
44,58,18,23,5,0,Ransomware,,Ransomware
44,58,18,23,5,0,Ransomware,,Ransomware
44,58,18,23,5,0,Ransomware,,Ransomware
44,58,18,23,5,0,Ransomware,,Ransomware
44,58,18,23,5,0,Ransomware,,Ransomware
44,58,18,23,5,0,Ransomware,,Ransomware
44,58,18,23,5,0,Ransomware,,Ransomware
74,56,22,27,53,0,Ransomware,,Ransomware
74,60,22,16,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
214,1265,71,41,63,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
405,330,136,75,3,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
63,59,18,22,58,1,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
63,61,18,27,45,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
55,57,15,25,42,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,68,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,65,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,60,22,16,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
74,63,22,26,58,0,Ransomware,,Ransomware
80,168,23,53,78,15,Ransomware,,Ransomware
101,93,31,35,63,0,Ransomware,,Ransomware
45,52,14,19,52,0,Ransomware,,Ransomware
101,92,31,35,63,0,Ransomware,,Ransomware
45,52,14,19,52,0,Ransomware,,Ransomware
68,61,26,21,5,0,Ransomware,Nopyfy,Ransomware
68,61,26,21,5,0,Ransomware,Nopyfy,Ransomware
68,61,26,21,5,0,Ransomware,Nopyfy,Ransomware
68,61,26,21,5,0,Ransomware,Nuke,Ransomware
93,76,28,28,64,0,Ransomware,Octocrypt,Ransomware
93,76,28,28,64,0,Ransomware,Octocrypt,Ransomware
68,62,26,21,5,0,Ransomware,OnyxLocker,Ransomware
48,49,19,13,5,0,Ransomware,OrcusRAT,Ransomware
135,239,48,123,100,32,Ransomware,Other,Ransomware
55,57,15,25,42,0,Ransomware,Pandora,Ransomware
85,74,26,27,60,0,Ransomware,Pandora,Ransomware
32,184,5,14,32,0,Ransomware,Pandora,Ransomware
55,57,15,25,42,0,Ransomware,Pandora,Ransomware
85,75,26,27,61,0,Ransomware,Pandora,Ransomware
88,75,27,27,65,0,Ransomware,Paradise,Ransomware
67,61,26,21,5,0,Ransomware,Payme,Ransomware
64,63,24,24,7,0,Ransomware,Paymen45,Ransomware
62,58,18,21,49,0,Ransomware,PenterWare,Ransomware
62,58,18,21,50,0,Ransomware,PenterWare,Ransomware
62,58,19,21,49,1,Ransomware,PenterWare,Ransomware
68,61,26,21,5,0,Ransomware,Petya,Ransomware
33,45,10,17,52,0,Ransomware,Phobos,Ransomware
96,81,30,30,61,0,Ransomware,Phobos,Ransomware
105,100,32,33,66,0,Ransomware,Phobos,Ransomware
131,95,44,33,64,0,Ransomware,Phobos,Ransomware
110,252,47,30,6,0,Ransomware,Phobos,Ransomware
55,59,15,25,42,0,Ransomware,Phobos,Ransomware
55,59,15,25,42,0,Ransomware,Phobos,Ransomware
33,45,10,17,52,0,Ransomware,Phobos,Ransomware
85,78,26,27,61,0,Ransomware,Phobos,Ransomware
105,95,32,33,66,0,Ransomware,Phobos,Ransomware
131,94,44,33,66,0,Ransomware,Phobos,Ransomware
105,99,32,33,66,0,Ransomware,Phobos,Ransomware
33,45,10,17,52,0,Ransomware,Phobos,Ransomware
55,59,15,25,42,0,Ransomware,Phobos,Ransomware
55,59,15,25,42,0,Ransomware,Phobos,Ransomware
33,45,10,17,52,0,Ransomware,Phobos,Ransomware
85,74,26,27,61,0,Ransomware,Phobos,Ransomware
105,94,32,33,66,0,Ransomware,Phobos,Ransomware
96,80,30,30,61,0,Ransomware,Phobos,Ransomware
33,45,10,17,52,0,Ransomware,Phobos,Ransomware
131,94,44,33,64,0,Ransomware,Phobos,Ransomware
105,100,32,33,66,0,Ransomware,Phobos,Ransomware
55,59,15,25,42,0,Ransomware,Phobos,Ransomware
55,59,15,25,42,0,Ransomware,Phobos,Ransomware
33,45,10,17,52,0,Ransomware,Phobos,Ransomware
105,95,32,33,66,0,Ransomware,Phobos,Ransomware
85,73,26,27,61,0,Ransomware,Phobos,Ransomware
96,81,30,30,61,0,Ransomware,Phobos,Ransomware
105,102,32,33,66,0,Ransomware,Phobos,Ransomware
131,94,44,33,66,0,Ransomware,Phobos,Ransomware
33,45,10,17,52,0,Ransomware,Phobos,Ransomware
55,59,15,25,42,0,Ransomware,Phobos,Ransomware
55,59,15,25,42,0,Ransomware,Phobos,Ransomware
33,45,10,17,52,0,Ransomware,Phobos,Ransomware
105,99,32,33,66,0,Ransomware,Phobos,Ransomware
96,81,30,30,61,0,Ransomware,Phobos,Ransomware
85,74,26,27,61,0,Ransomware,Phobos,Ransomware
105,101,32,33,66,0,Ransomware,Phobos,Ransomware
131,92,44,33,64,0,Ransomware,Phobos,Ransomware
33,45,10,17,52,0,Ransomware,Phobos,Ransomware
55,59,15,25,42,0,Ransomware,Phobos,Ransomware
33,45,10,17,52,0,Ransomware,Phobos,Ransomware
55,59,15,25,42,0,Ransomware,Phobos,Ransomware
96,81,30,30,61,0,Ransomware,Phobos,Ransomware
85,79,26,27,61,0,Ransomware,Phobos,Ransomware
105,100,32,33,66,0,Ransomware,Phobos,Ransomware
33,45,10,17,52,0,Ransomware,Phobos,Ransomware
131,93,44,33,66,0,Ransomware,Phobos,Ransomware
110,253,47,30,6,0,Ransomware,Phobos,Ransomware
55,59,15,25,42,0,Ransomware,Phobos,Ransomware
55,59,15,25,42,0,Ransomware,Phobos,Ransomware
96,81,30,30,61,0,Ransomware,Phobos,Ransomware
33,45,10,17,52,0,Ransomware,Phobos,Ransomware
105,99,32,33,66,0,Ransomware,Phobos,Ransomware
85,74,26,27,61,0,Ransomware,Phobos,Ransomware
105,101,32,33,66,0,Ransomware,Phobos,Ransomware
33,45,10,17,52,0,Ransomware,Phobos,Ransomware
33,45,10,17,52,0,Ransomware,Phobos,Ransomware
55,59,15,25,42,0,Ransomware,Phobos,Ransomware
55,59,15,25,42,0,Ransomware,Phobos,Ransomware
96,80,30,30,60,0,Ransomware,Phobos,Ransomware
105,99,32,33,63,0,Ransomware,Phobos,Ransomware
85,78,26,27,60,0,Ransomware,Phobos,Ransomware
131,91,44,33,62,0,Ransomware,Phobos,Ransomware
105,102,32,33,63,0,Ransomware,Phobos,Ransomware
55,59,15,25,42,0,Ransomware,Phobos,Ransomware
55,59,15,25,42,0,Ransomware,Phobos,Ransomware
85,74,26,27,61,0,Ransomware,Phobos,Ransomware
105,100,32,33,66,0,Ransomware,Phobos,Ransomware
105,101,32,33,66,0,Ransomware,Phobos,Ransomware
103,128,39,44,7,0,Ransomware,Python,Ransomware
75,86,28,37,5,0,Ransomware,Python,Ransomware
75,86,28,37,5,0,Ransomware,Python,Ransomware
112,90,35,33,66,0,Ransomware,QNAPCrypt,Ransomware
112,90,35,33,65,0,Ransomware,QNAPCrypt,Ransomware
112,90,35,33,65,0,Ransomware,QNAPCrypt,Ransomware
112,90,35,33,65,0,Ransomware,QNAPCrypt,Ransomware
112,90,35,33,65,0,Ransomware,QNAPCrypt,Ransomware
112,90,35,33,66,0,Ransomware,QNAPCrypt,Ransomware
112,90,35,33,66,0,Ransomware,QNAPCrypt,Ransomware
200,178,83,48,6,0,Ransomware,QuasarRAT,Ransomware
62,58,18,21,48,0,Ransomware,QuasarRAT,Ransomware
62,58,18,21,48,0,Ransomware,QuasarRAT,Ransomware
62,58,18,21,48,0,Ransomware,QuasarRAT,Ransomware
69,64,26,21,5,0,Ransomware,QuasarRAT,Ransomware
32,43,12,20,6,0,Ransomware,Ragnar,Ransomware
131,95,44,33,64,0,Ransomware,RagnarLocker,Ransomware
85,75,26,27,61,0,Ransomware,RagnarLocker,Ransomware
131,96,44,33,62,0,Ransomware,RagnarLocker,Ransomware
85,75,26,27,60,0,Ransomware,RagnarLocker,Ransomware
131,96,44,33,66,0,Ransomware,RagnarLocker,Ransomware
85,74,26,27,61,0,Ransomware,RagnarLocker,Ransomware
131,96,44,33,64,0,Ransomware,RagnarLocker,Ransomware
85,75,26,27,60,0,Ransomware,RagnarLocker,Ransomware
55,58,15,25,42,0,Ransomware,RagnarLocker,Ransomware
55,58,15,25,42,0,Ransomware,RagnarLocker,Ransomware
55,58,15,25,42,0,Ransomware,RagnarLocker,Ransomware
55,58,15,25,42,0,Ransomware,RagnarLocker,Ransomware
55,58,15,25,42,0,Ransomware,RagnarLocker,Ransomware
85,74,26,27,60,0,Ransomware,RagnarLocker,Ransomware
33,45,10,17,52,0,Ransomware,RagnarLocker,Ransomware
131,94,44,33,64,0,Ransomware,RagnarLocker,Ransomware
33,45,10,17,52,0,Ransomware,RagnarLocker,Ransomware
105,99,32,33,64,0,Ransomware,RagnarLocker,Ransomware
131,96,44,33,66,0,Ransomware,RagnarLocker,Ransomware
85,74,26,27,61,0,Ransomware,RagnarLocker,Ransomware
